doc_idx,chunk_idx,Source,Target,Description
0,0,VOLKER MAHNKE,TORBEN PEDERSEN,Volker Mahnke and Torben Pedersen co-authored a research paper
0,0,VOLKER MAHNKE,MARKUS VENZIN,Volker Mahnke and Markus Venzin co-authored a research paper
0,0,TORBEN PEDERSEN,MARKUS VENZIN,Torben Pedersen and Markus Venzin co-authored a research paper
0,0,VOLKER MAHNKE,CBS RESEARCH PORTAL,Volker Mahnke published a paper on the CBS Research Portal
0,0,TORBEN PEDERSEN,CBS RESEARCH PORTAL,Torben Pedersen published a paper on the CBS Research Portal
0,0,MARKUS VENZIN,CBS RESEARCH PORTAL,Markus Venzin published a paper on the CBS Research Portal
0,0,CBS RESEARCH PORTAL,CBS,CBS Research Portal is hosted by CBS
0,1,VOLKER MAHNKE,INSTITUT FOR INFORMATIK,Volker Mahnke is an author affiliated with the Institut for Informatik
0,1,TORBEN PEDERSEN,INSTITUT FOR INFORMATIK,Torben Pedersen is an author affiliated with the Institut for Informatik
0,1,MARKUS VENZIN,INSTITUT FOR INFORMATIK,Markus Venzin is an author affiliated with the Institut for Informatik
0,1,INSTITUT FOR INFORMATIK,HANDELSHØJSKOLEN,Institut for Informatik is a department of the Copenhagen Business School
0,1,HANDELSHØJSKOLEN,DENMARK,Copenhagen Business School is located in Denmark
0,1,HANDELSHØJSKOLEN,FREDERIKSBERG,Copenhagen Business School is located in Frederiksberg
0,1,HANDELSHØJSKOLEN,KØBENHAVN,Copenhagen Business School is located in København
0,2,VOLKER MAHNKE,COPENHAGEN BUSINESS SCHOOL,Volker Mahnke is an Associate Professor at Copenhagen Business School
0,2,TORBEN PEDERSEN,COPENHAGEN BUSINESS SCHOOL,Torben Pedersen is a Professor at Copenhagen Business School
0,2,MARKUS VENZIN,COPENHAGEN BUSINESS SCHOOL,Markus Venzin is a researcher or professor at Copenhagen Business School
0,2,COPENHAGEN BUSINESS SCHOOL,DENMARK,Copenhagen Business School is located in Denmark
0,3,MARKUS VENZIN,COPENHAGEN BUSINESS SCHOOL,Markus Venzin is an Assistant Professor at Copenhagen Business School
0,4,BOCCONI UNIVERSITY,ITALY,Bocconi University is located in Italy
0,4,BOCCONI UNIVERSITY,MILANO,Bocconi University is located in Milano
0,4,M VENZIN,BOCCONI UNIVERSITY,M Venzin is affiliated with Bocconi University
0,6,EUROPEAN UNION,RUSSIAN DIRECT INVESTMENT FUND,The European Union has imposed sanctions on the Russian Direct Investment Fund
0,6,EUROPEAN UNION,BELARUSIAN POTASH COMPANY,The European Union has imposed sanctions on the Belarusian Potash Company
0,6,RUSSIAN DIRECT INVESTMENT FUND,GAZPROM,The Russian Direct Investment Fund has investments in Gazprom
0,6,BELARUSIAN POTASH COMPANY,URALKALI,The Belarusian Potash Company has partnerships with Uralkali
0,6,RUSSIA,UKRAINE,Russia's actions in Ukraine have led to EU sanctions
