name,type,description,doc_idx,chunk_idx
ABSORPTIVE CAPACITY,RESEARCH_CONCEPT,A subsidiary's ability to recognize assimilate and apply knowledge from other units in the MNC through employees' ability and motivation to learn,0,3
KNOWLEDGE MANAGEMENT TOOLS,RESEARCH_CONCEPT,Organizational mechanisms and systems designed to facilitate knowledge sharing and utilization across subsidiaries including corporate university communities of practice group benchmarking learning systems and rewards,0,1
KNOWLEDGE INFLOWS,RESEARCH_CONCEPT,The transfer of knowledge from one subsidiary to another within the multinational corporation network which influences the receiving unit's behavior and performance,0,8
SUBSIDIARY PERFORMANCE,VARIABLE,Multi-dimensional business outcomes including cost savings additional revenue process improvements product improvements and new product development that result from knowledge management initiatives,0,11
COMMUNITIES OF PRACTICE,METHODOLOGY,Groups that facilitate tacit knowledge exchange between employees across subsidiary boundaries creating common communication codes and increasing motivation to share knowledge,0,6
CORPORATE UNIVERSITY,METHODOLOGY,A knowledge management tool that facilitates explicit knowledge sharing and development of employees' abilities across the multinational corporation,0,6
GROUP BENCHMARKING,METHODOLOGY,A process where expert teams identify leading practices in specific knowledge domains and document them so other subsidiaries can improve performance,0,6
LEARNING SYSTEM,METHODOLOGY,Intranet-based solutions that decrease transaction costs of knowledge search by helping employees identify valuable knowledge and knowledgeable partners across the organization,0,6
REWARD SYSTEMS,METHODOLOGY,Both formal and informal incentives designed to motivate employees to participate in knowledge sharing activities across subsidiaries,0,7
ABILITY TO LEARN,VARIABLE,A component of absorptive capacity that reflects employees' cognitive capacity to understand and acquire new knowledge from other units,0,4
MOTIVATION TO LEARN,VARIABLE,A component of absorptive capacity that reflects employees' willingness to engage with and utilize knowledge flows from other units,0,4
HEIDELBERGER CEMENT,ORGANIZATION,A large German multinational corporation in the cement industry with around 1500 subsidiaries in over 50 countries and 36000 employees that served as the research site,0,9
MNC,RESEARCH_CONCEPT,Multinational Corporation which operates as a differentiated network where knowledge flows between subsidiaries are crucial for overall performance,0,2
FORMAL ACKNOWLEDGEMENT,VARIABLE,The extent to which a subsidiary's knowledge is recognized by other organizational units which may positively impact business performance,0,12
KNOWLEDGE ADAPTATION,VARIABLE,The extent to which knowledge from other units must be modified to fit the local context of the receiving subsidiary,0,12
INTRINSIC MOTIVATION,RESEARCH_CONCEPT,Internal drivers for knowledge sharing behavior based on common goals and personal satisfaction rather than external rewards,0,7
EXTRINSIC MOTIVATION,RESEARCH_CONCEPT,External drivers for knowledge sharing behavior based on formal rewards and incentives provided by the organization,0,7
DIFFERENTIATED NETWORK,RESEARCH_CONCEPT,A perspective that views the MNC as an interconnected system of geographically dispersed and goal-disparate units with varying strategic roles and capabilities,0,2
EMPIRICAL STUDIES,METHODOLOGY,Research investigations that test theoretical relationships through the collection and analysis of data rather than purely conceptual reasoning,0,3
TACIT KNOWLEDGE,RESEARCH_CONCEPT,Knowledge that is difficult to codify or express in explicit form and is often embedded in individuals' experiences and mental models,0,6
EXPLICIT KNOWLEDGE,RESEARCH_CONCEPT,Knowledge that can be easily codified documented and transferred through formal systematic language,0,6
INTRANET SOLUTION,METHODOLOGY,Web-based platform designed for internal organizational use to facilitate communication information sharing and knowledge exchange,0,6
KNOWLEDGE SEARCH,RESEARCH_CONCEPT,The process of locating and identifying valuable knowledge resources within an organization's knowledge repositories or expert networks,0,6
TRANSACTION COSTS,RESEARCH_CONCEPT,The costs associated with participating in knowledge exchange including time effort and cognitive resources required to search for access and utilize knowledge,0,6
EXPERT TEAMS,METHODOLOGY,Groups of specialists assembled to identify document and share leading practices in specific knowledge domains across the organization,0,6
LEADING PRACTICES,RESEARCH_CONCEPT,Superior methods processes or approaches identified in high-performing subsidiaries that can be shared to improve performance in other units,0,6
COMBINATIVE CAPABILITIES,RESEARCH_CONCEPT,The ability to synthesize and apply knowledge from various sources creating new combinations that enhance organizational capabilities,0,6
COMMUNITY-SPECIFIC CODES,RESEARCH_CONCEPT,Specialized language expressions and shared understandings that develop within communities of practice facilitating knowledge exchange,0,6
INTERDISCIPLINARY TEAMS,METHODOLOGY,Work groups that bring together individuals with different functional backgrounds to integrate diverse knowledge bases,0,6
KNOWLEDGE CREATION,RESEARCH_CONCEPT,The development of new insights understandings and capabilities that did not previously exist in the organization,0,6
KNOWLEDGE HOSTILITY,RESEARCH_CONCEPT,Attitudes and behaviors that impede knowledge sharing between subsidiaries including not-invented-here syndrome and territorial protectiveness,0,5
POTENTIAL ABSORPTIVE CAPACITY,RESEARCH_CONCEPT,The ability to recognize and assimilate external knowledge without necessarily applying it to commercial ends,0,4
REALIZED ABSORPTIVE CAPACITY,RESEARCH_CONCEPT,The ability to transform and exploit knowledge that has been recognized and assimilated for commercial purposes,0,4
KNOWLEDGE SHARING BEHAVIOR,RESEARCH_CONCEPT,Actions taken by individuals to exchange information expertise and insights with colleagues across organizational boundaries,0,7
NOT-INVENTED-HERE SYNDROME,RESEARCH_CONCEPT,A negative attitude toward knowledge developed outside one's own group leading to rejection of external ideas regardless of their potential value,0,5
SOCIAL INTERACTION,RESEARCH_CONCEPT,The interpersonal exchanges and relationships that facilitate or impede knowledge flows between individuals and units in an organization,0,5
CAUSAL AMBIGUITY,RESEARCH_CONCEPT,Uncertainty about the causes and effects in knowledge transfer processes making it difficult to specify incentives and measure performance,0,7
MEASUREMENT BASE,RESEARCH_CONCEPT,The set of metrics and indicators used to evaluate knowledge sharing behaviors and determine appropriate rewards,0,7
