source,target,relationship type,description,strength
ABSORPTIVE CAPACITY,KNOWLEDGE INFLOWS,ENABLES,Higher absorptive capacity increases knowledge inflows from other MNC units,5
KNOWLEDGE MANAGEMENT TOOLS,ABSORPTIVE CAPACITY,DEVELOPS,Knowledge management tools develop and strengthen a subsidiary's absorptive capacity,5
KNOWLEDGE INFLOWS,SUBSIDIARY PERFORMANCE,INFLUENCES,Knowledge inflows positively affect multiple dimensions of subsidiary performance,5
COMMUNITIES OF PRACTICE,ABSORPTIVE CAPACITY,ENHANCES,Communities of practice enhance absorptive capacity by facilitating tacit knowledge exchange,5
CORPORATE UNIVERSITY,ABSORPTIVE CAPACITY,ENHANCES,Corporate university enhances employee ability to recognize and assimilate knowledge,3
GROUP BENCHMARKING,ABSORPTIVE CAPACITY,ENHANCES,Group benchmarking improves ability to identify and apply leading practices,5
LEARNING SYSTEM,ABSORPTIVE CAPACITY,ENHANCES,Learning systems reduce transaction costs of knowledge search and improve access,3
REWARD SYSTEMS,ABSORPTIVE CAPACITY,INFLUENCES,Reward systems affect employee motivation to participate in knowledge sharing,1
ABILITY TO LEARN,ABSORPTIVE CAPACITY,COMPONENT_OF,Ability to learn is a key component of absorptive capacity,5
MOTIVATION TO LEARN,ABSORPTIVE CAPACITY,COMPONENT_OF,Motivation to learn is a key component of absorptive capacity,5
HEIDELBERGER CEMENT,KNOWLEDGE MANAGEMENT TOOLS,IMPLEMENTS,HeidelbergCement implemented various knowledge management tools,5
MNC,KNOWLEDGE INFLOWS,FACILITATES,MNCs facilitate knowledge flows between geographically dispersed subsidiaries,5
FORMAL ACKNOWLEDGEMENT,SUBSIDIARY PERFORMANCE,IMPACTS,Formal acknowledgement of subsidiary knowledge positively impacts performance,1
KNOWLEDGE ADAPTATION,SUBSIDIARY PERFORMANCE,IMPACTS,The need to adapt knowledge can affect the performance impact of knowledge inflows,3
INTRINSIC MOTIVATION,KNOWLEDGE SHARING BEHAVIOR,DRIVES,Intrinsic motivation is a powerful driver of knowledge sharing behavior,5
EXTRINSIC MOTIVATION,KNOWLEDGE SHARING BEHAVIOR,DRIVES,Extrinsic motivation can drive knowledge sharing through formal rewards,3
DIFFERENTIATED NETWORK,MNC,CHARACTERIZES,The differentiated network concept characterizes modern MNCs,5
EMPIRICAL STUDIES,ABSORPTIVE CAPACITY,INVESTIGATES,Empirical studies examine absorptive capacity as a determinant of knowledge transfer,5
TACIT KNOWLEDGE,COMMUNITIES OF PRACTICE,EXCHANGED_IN,Tacit knowledge is primarily exchanged in communities of practice,5
EXPLICIT KNOWLEDGE,CORPORATE UNIVERSITY,EXCHANGED_IN,Explicit knowledge is primarily shared through corporate university programs,5
INTRANET SOLUTION,LEARNING SYSTEM,COMPONENT_OF,Intranet solutions are key components of effective learning systems,5
KNOWLEDGE SEARCH,TRANSACTION COSTS,ASSOCIATED_WITH,Knowledge search involves transaction costs that can impede knowledge flows,3
EXPERT TEAMS,GROUP BENCHMARKING,CONDUCTS,Expert teams conduct group benchmarking to identify leading practices,5
LEADING PRACTICES,GROUP BENCHMARKING,IDENTIFIED_BY,Leading practices are identified by group benchmarking processes,5
COMBINATIVE CAPABILITIES,KNOWLEDGE CREATION,ENABLES,Combinative capabilities enable the creation of new knowledge from existing sources,5
KNOWLEDGE HOSTILITY,ABSORPTIVE CAPACITY,REDUCES,Knowledge hostility reduces a subsidiary's absorptive capacity,5
POTENTIAL ABSORPTIVE CAPACITY,REALIZED ABSORPTIVE CAPACITY,PRECEDES,Potential absorptive capacity is necessary but not sufficient for realized capacity,5
KNOWLEDGE SHARING BEHAVIOR,KNOWLEDGE INFLOWS,INFLUENCES,Knowledge sharing behavior of source units influences knowledge inflows to recipient units,5
NOT-INVENTED-HERE SYNDROME,ABSORPTIVE CAPACITY,REDUCES,Not-invented-here syndrome reduces absorptive capacity by lowering motivation,5
CAUSAL AMBIGUITY,REWARD SYSTEMS,COMPLICATES,Causal ambiguity makes it difficult to design effective knowledge sharing rewards,5
MEASUREMENT BASE,REWARD SYSTEMS,REQUIRED_FOR,A sound measurement base is required for effective reward systems,5
INFORMAL ACKNOWLEDGEMENT,INTRINSIC MOTIVATION,SUPPORTS,Informal acknowledgement supports intrinsic motivation for knowledge sharing,5
SIGNALING,ORGANIZATIONAL SUPPORT,COMMUNICATES,Signaling communicates organizational support for knowledge sharing,3
COMMON GOALS,INTRINSIC MOTIVATION,FOSTERS,Common goals foster intrinsic motivation for knowledge sharing,5
KNOWING-DOING GAP,KNOWLEDGE INFLOWS,LIMITS,Knowing-doing gaps limit the performance impact of knowledge inflows,5
